Title,Worldwide_gross($),Budget(in$),IMDB,DURATION-Minutes,Year,Rotten_Tomatoes(%),Rating(Stars),CRBCR3ting,Popularity(in%),Picture Colour,HIT/FLOP
Aladdin,"50,40,50,045","2,80,00,000",8.1,164,1992,71,4,1,60,2,H
Jurassic Park,"1,029,939,903 ","6,30,00,000",8.5,151,1993,79,4.5,3,76,2,H
The Lion King,"96,84,83,777","4,50,00,000",8.3,127,1994,81,4.5,2,70,2,H
Toy Story,"37,35,54,033","3,00,00,000",7.6,150,1995,82,4,1/.3,60,2,H
Die Hard with a Vengeance,"36,61,01,666","7,00,00,000",6.9,81,1995,51,3.5,2,72,2,F
Independence Day,"81,74,00,891","7,50,00,000",7.7,181,1996,71,3.5,3,56,2,H
Titanic,"2,186,772,302 ","20,00,00,000",6.6,129,1997,41,3.5,3,74,2,F
Armageddon,"55,37,09,626","14,00,00,000",6.5,195,1998,43,3.5,3,71,2,F
Star Wars: Episode I ? The Phantom Menace,"1,027,044,677 ","11,50,00,000",6.1,153,1999,49,3,2,81,2,F
Mission: Impossible II,"54,63,88,105","10,00,00,000",7.5,136,2000,69,3.5,3,69,2,H
Harry Potter and the Philosopher's Stone,"97,47,55,371","12,50,00,000",8.7,123,2001,72,4.5,2,67,2,H
The Lord of the Rings: The Two Towers,"92,63,49,708","9,40,00,000",8.9,159,2002,71,4.5,2,70,2,H
